0,in paper written year ago which seems even more relevant today mr butler traces the conditions that led to the worst depression in modern history 
0,includes up to billion in tax breaks for college costs billion in capital gains relief and billion in unspecified tax cuts so why the grousing jack kemp the supply sider supply sider argues that uie republicans caved in on taxes he wants to eliminate all taxes on capital gains apd inheritances and make payroll taxes deductible 
1,ratio of idle stayed at for april but number of jobholders rose by to million record
1,washington may sending surprisingly encouraging signal on inflation prices at the producer level rose moderate four tenths of percent in april the labor department reported today 
0,the exceptional volume of buying selling and refinancing triggered by the decline of interest rates is now creating havoc for those who are trying to schedule closing date 
0,leaders of the country billion housing industry which accounts for about percent of the gross national product say that the slump results in part from move by federal bank regulators to discourage banks from real estate lending in an attempt to prevent them from falling victim to the same careless practices that bankrupted so many savings institutions unless conditions improve they say and other factors including smaller number of young home buyers make
0,the belief that this is the way to go is gaining ground not merely among boat rockers who have long complained that labor was becoming docile vassal of the establishment but also among the mainstream elements in unionism high command whose strong preference in the absence of the current irritants would be to forge an alliance of industry labor and government to revitalize the economy and stem inflation 
1,standard poor index was soaring as program traders selling the actual shares underlying the index simultaneously bought the futures 
0,testifying in washington yesterday were arthur burns left head of the federal reserve board and herbert stein chairman of the council of economic advisers dr burns was at the house banking and currency committee hearing mr stein spoke at the joint economic committee inquiry 
0,senator simpson explaining that the senate leadership was bent on cutting about billion from the administration proposed pentagon budget asserted that reductions announced by defense secretary caspar weinberger did not amount to real cutbacks because the pentagon was still getting all the major weapons systems and other programs it wanted 
1,in general results were good and in line with most industry expectations said christopher demisch aerospace industry analyst at the first boston corporation mr demisch noted that the company had continued growth in the automotive and building and construction operations and sales gains at its carrier air conditioner otis elevator essex wire and cable inmont automotive paint and hamilton standard electronic controls divisions 
0,the stock market behaved like an expectant father yesterday pending some news it had to keep moving although the pacing up and down bespoke bad case of nerves rather than the desire to go somewhere 
0,in second report the labor department said that for third consecutive week more americans filed new claims for unemployment insurance 
0,tile january report on consumer prices in the united states released this week showed that the prices of apparel are now higher than they were two years ago that is something that has rarely happened since period of nearly decade in which clothing prices tended lower even as other things were rising 
1,several measures of corporate profits released today left mixed picture of business activity in the quarter the commerce department preferred measure profits from current production jumped percent from last year fourth quarter after having slipped percent in the fourth quarter the better known measure of after tax profits declined percent after falling percent in the fourth quarter 
1,positive economic data and the data has been much more positive than negative in recent weeks raises concerns particularly on wall street that the federal reserve may push up interest rates to slow growth and thus restrain inflation although the fed policy makers have stopped cutting rates they have been less optimistic about the economy than have most private forecasters and one policy maker robert mcteer president of the federal reserve bank of dallas reflected that caution in an interview yesterday 
1,underwriters led by salomon brothers said investor interest was strong enough to permit the lifting of trading restrictions on the issue at m on the first day of sales later in the day the year debentures were offered at the same as the original sale price 
0,for market participants the latest data suggest that the federal reserve bank will have to consider further credit tightening to rein in an economy that continues to expand too rapidly threatening to accelerate inflation yesterday numbers also gave market participants reason to be concerned about the march consumer price report due on tuesday 
0,in normal circumstances people laid off from full time jobs can collect benefits for up to weeks after which they fall off the rolls but some of the people who will lose benefits this week have been on unemployment for weeks because congress approved extensions of jobless benefits twice last year 
1,despite the fact that market yields on government securities have touched percent in recent weeks mortgages still offer return after servicing costs to of point greater the yields on both mortgages and governments are far above those on bank stocks taking account even of anticipated increases in earnings 
1,as members of the senate rushed to complete the final wording of the compromise however and draft proposed amendment that was to be part of the farm bill time ran out and the compromise failed to be voted on the farm bill was passed this afternoon 
0,the first evidence of leveling off in the uninterrupted decline in business loans over the last four months came yesterday when figures released by the federal reserve bank of new york showed practically stationary basis during the week ended on wednesday although the reporting new york city member banks of the system showed decline of for commercial industrial and agricultural borrowings the sixteenth consecutive drop the shrinking was due to the reclassification of
0,no particular group showed strength except the gold mining stocks which normally run counter to the general market 
0,since don play matinees and we don perform on sundays in evita don think m going to strain my voice she continued suppose what m also trying to do is to reduce the chance of my ever being out of work again 
1,note auction affected large portion of the rise in rates was later recouped but the early increase had clear effect on an auction of billion worth of new two year treasury notes 
0,the credit markets rebounded somewhat yesterday following an indication that the federal reserve system wants to keep the federal funds rate at percent or below 
1,the stock market stretched out its best rally of yesterday as wall street pondered this puzzler is the rally for real 
1,consumer spending in may rebounded slightly in what an analyst said wasn a blowout but the gains were solid snap bach 
0,more stocks rose than fell standard poor index of stocks closed unchanged and the new york times combined average of fifty stocks declined points to at that level it was up points for the month to date it was only the third decline of the month the times rail average rose point to and the industrial average was off points to 
1, fearing that forthcoming economic data will be strong prompting the federal reserve to raise interest rates further traders bid down prices of treasury securities yesterday despite decent demand at note auction 
0,at the same time one of the economy key lagging indicators unemployment appears ready to flash some unpleasant figures when statistics for may are disclosed this friday they are likely to show unemployment at or above the percent level up from percent in the preceding month 
0,commercial and industrial loans decreased total of at all reporting member banks the principal changes were decreases of in new york city in chicago and each in the boston and san francisco districts 
0,the commission stressed the effects of inflation to account for apparent cutbacks in facilities recommended in previous budgets and the abandonment and deferment of other projects 
0,at the same time economic growth appears to be decelerating in europe and japan is again flirting with recession that weakness is dampening demand from abroad for american goods and services making it even harder for the domestic economy to emerge from its doldrums 
1,gene jay seagle director of technical research at gruntal company said the dip in the dow was not surprising this market had good move he said it moved up nine days in row and made post crash highs three times on the way up the street is looking at between and per share said daniel benton an analyst at goldman sachs company think there was some feeling that they might show positive surprise of over year earlier ibm earned share 
1,they were ray of hope in the dark days following the oct collapse of the stock market signaling vote of confidence in the financial markets corporations big and small announced large buybacks of their shares telling investors that they stood ready to buy their companies stock even if no one else would 
0,compared with february the index was up percent last month and the core rate was up percent unlike the consumer price index which is more widely reported producer prices do not include taxes subsidies or distribution costs economists view increases in wholesale prices as early indicators of broader inflation 
